"","pp_no","condition","trial","muscle","bin","Zdiff"
"326","pp4810","285","trial1","brow","diff_bin6",-0.0664487257275797
"327","pp4810","285","trial1","brow","diff_bin7",-0.112685106864649
"328","pp4810","285","trial1","brow","diff_bin8",0.532944152913639
"329","pp4810","285","trial1","brow","diff_bin9",0.0741976483356459
"330","pp4810","285","trial1","brow","diff_bin10",0.00966900962599454
"331","pp4810","285","trial1","cheek","diff_bin1",-0.184142413726754
"332","pp4810","285","trial1","cheek","diff_bin2",-0.0337817458341035
"333","pp4810","285","trial1","cheek","diff_bin3",0.132046013426165
"334","pp4810","285","trial1","cheek","diff_bin4",-0.128327064898136
"335","pp4810","285","trial1","cheek","diff_bin5",-0.0432425019221437
"336","pp4810","285","trial1","cheek","diff_bin6",0.212322396087676
"337","pp4810","285","trial1","cheek","diff_bin7",0.142642682662934
"338","pp4810","285","trial1","cheek","diff_bin8",0.399405735637851
"339","pp4810","285","trial1","cheek","diff_bin9",2.63505397733055
"340","pp4810","285","trial1","cheek","diff_bin10",2.29986623573109
"341","pp4810","285","trial2","brow","diff_bin1",-0.127291483108173
"342","pp4810","285","trial2","brow","diff_bin2",-0.239359419145631
"343","pp4810","285","trial2","brow","diff_bin3",-0.454512026958098
"344","pp4810","285","trial2","brow","diff_bin4",0.115890966439226
"345","pp4810","285","trial2","brow","diff_bin5",-0.0322128884525597
"346","pp4810","285","trial2","brow","diff_bin6",-0.233479152653227
"347","pp4810","285","trial2","brow","diff_bin7",-0.188374251366007
"348","pp4810","285","trial2","brow","diff_bin8",-0.521166476294742
"349","pp4810","285","trial2","brow","diff_bin9",-0.000840038070343357
"350","pp4810","285","trial2","brow","diff_bin10",2.55834451504817
"351","pp4810","285","trial2","cheek","diff_bin1",-0.190428837179991
"352","pp4810","285","trial2","cheek","diff_bin2",-0.0279776964577239
"353","pp4810","285","trial2","cheek","diff_bin3",-0.00244299129247083
"354","pp4810","285","trial2","cheek","diff_bin4",-0.217644071387199
"355","pp4810","285","trial2","cheek","diff_bin5",-0.214703145563778
"356","pp4810","285","trial2","cheek","diff_bin6",-0.168768685083689
"357","pp4810","285","trial2","cheek","diff_bin7",-0.156802695886809
"358","pp4810","285","trial2","cheek","diff_bin8",-0.0609658591331268
"359","pp4810","285","trial2","cheek","diff_bin9",0.424224659914864
"360","pp4810","285","trial2","cheek","diff_bin10",0.740024075715479
"361","pp4810","285","trial3","brow","diff_bin1",-0.192145850865509
"362","pp4810","285","trial3","brow","diff_bin2",0.838529430543698
"363","pp4810","285","trial3","brow","diff_bin3",0.418956129858254
"364","pp4810","285","trial3","brow","diff_bin4",-0.00582883559013839
"365","pp4810","285","trial3","brow","diff_bin5",0.100495983027624
"366","pp4810","285","trial3","brow","diff_bin6",0.118291075211636
"367","pp4810","285","trial3","brow","diff_bin7",-0.10193604829107
"368","pp4810","285","trial3","brow","diff_bin8",-0.249919897744235
"369","pp4810","285","trial3","brow","diff_bin9",0.869147961026014
"370","pp4810","285","trial3","brow","diff_bin10",0.185665557180002
"371","pp4810","285","trial3","cheek","diff_bin1",-0.207747622584578
"372","pp4810","285","trial3","cheek","diff_bin2",-0.60981419587219
"373","pp4810","285","trial3","cheek","diff_bin3",-0.296317727277216
"374","pp4810","285","trial3","cheek","diff_bin4",-0.183691160558081
"375","pp4810","285","trial3","cheek","diff_bin5",0.359430929075063
"376","pp4810","285","trial3","cheek","diff_bin6",-0.477192445644614
"377","pp4810","285","trial3","cheek","diff_bin7",-0.153177110083333
"378","pp4810","285","trial3","cheek","diff_bin8",-0.197913415598326
"379","pp4810","285","trial3","cheek","diff_bin9",0.189043956765788
"380","pp4810","285","trial3","cheek","diff_bin10",0.0468680877256197
"381","pp4810","285","trial4","brow","diff_bin1",0.0868667939271529
"382","pp4810","285","trial4","brow","diff_bin2",-0.0654201076822611
"383","pp4810","285","trial4","brow","diff_bin3",-0.2167641094168
"384","pp4810","285","trial4","brow","diff_bin4",-0.349010102776591
"385","pp4810","285","trial4","brow","diff_bin5",-0.0686602545250147
"386","pp4810","285","trial4","brow","diff_bin6",-0.202243451343719
"387","pp4810","285","trial4","brow","diff_bin7",-0.189505731215858
"388","pp4810","285","trial4","brow","diff_bin8",-0.337952458789416
"389","pp4810","285","trial4","brow","diff_bin9",0.0580826322923217
"390","pp4810","285","trial4","brow","diff_bin10",-0.44842603685663
"391","pp4810","285","trial4","cheek","diff_bin1",0.808816843256968
"392","pp4810","285","trial4","cheek","diff_bin2",-0.149691568366687
"393","pp4810","285","trial4","cheek","diff_bin3",0.106806956888663
"394","pp4810","285","trial4","cheek","diff_bin4",-0.180127816570974
"395","pp4810","285","trial4","cheek","diff_bin5",0.0142066945861524
"396","pp4810","285","trial4","cheek","diff_bin6",0.0170386972309277
"397","pp4810","285","trial4","cheek","diff_bin7",0.165205341096582
"398","pp4810","285","trial4","cheek","diff_bin8",-0.133726542468119
"399","pp4810","285","trial4","cheek","diff_bin9",0.491290217052122
"400","pp4810","285","trial4","cheek","diff_bin10",1.33079227577885
"401","pp4810","285","trial5","brow","diff_bin1",0.00593169739467042
"402","pp4810","285","trial5","brow","diff_bin2",0.0139720617822439
"403","pp4810","285","trial5","brow","diff_bin3",-0.41976188066042
"404","pp4810","285","trial5","brow","diff_bin4",-0.23293055636239
"405","pp4810","285","trial5","brow","diff_bin5",0.0567454288334078
"406","pp4810","285","trial5","brow","diff_bin6",-0.187757080538816
"407","pp4810","285","trial5","brow","diff_bin7",-0.412012958052353
"408","pp4810","285","trial5","brow","diff_bin8",0.0126520019574184
"409","pp4810","285","trial5","brow","diff_bin9",-0.241176644359027
"410","pp4810","285","trial5","brow","diff_bin10",-0.121754089297541
"411","pp4810","285","trial5","cheek","diff_bin1",-0.206580588527665
"412","pp4810","285","trial5","cheek","diff_bin2",-0.196917546536427
"413","pp4810","285","trial5","cheek","diff_bin3",-0.259921825155628
"414","pp4810","285","trial5","cheek","diff_bin4",-0.284460661258982
"415","pp4810","285","trial5","cheek","diff_bin5",-0.213193781516838
"416","pp4810","285","trial5","cheek","diff_bin6",-0.174946185358281
"417","pp4810","285","trial5","cheek","diff_bin7",-0.0179567640223656
"418","pp4810","285","trial5","cheek","diff_bin8",-0.200029637354861
"419","pp4810","285","trial5","cheek","diff_bin9",-0.207249688053628
"420","pp4810","285","trial5","cheek","diff_bin10",0.218997830893218
"421","pp4810","285","trial6","brow","diff_bin1",0.0306185304823161
"422","pp4810","285","trial6","brow","diff_bin2",0.27726399411562
"423","pp4810","285","trial6","brow","diff_bin3",0.259314609224811
"424","pp4810","285","trial6","brow","diff_bin4",1.48287291776534
"425","pp4810","285","trial6","brow","diff_bin5",1.39705188551759
"426","pp4810","285","trial6","brow","diff_bin6",-0.201111971493869
"427","pp4810","285","trial6","brow","diff_bin7",0.0645972132460062
"428","pp4810","285","trial6","brow","diff_bin8",-0.147812413112278
"429","pp4810","285","trial6","brow","diff_bin9",-0.178122358180999
"430","pp4810","285","trial6","brow","diff_bin10",-0.348341501047134
"431","pp4810","285","trial6","cheek","diff_bin1",NA
"432","pp4810","285","trial6","cheek","diff_bin2",NA
"433","pp4810","285","trial6","cheek","diff_bin3",NA
