pp_no,condition,emotion,trial,muscle,bin,Zdiff
pp401,dyn,929,trial7,brow,diff_bin4,-0.5951921373919893
pp401,dyn,929,trial7,brow,diff_bin5,-0.713040518723475
pp401,dyn,929,trial7,brow,diff_bin6,-0.59400186757361
pp401,dyn,929,trial7,cheek,diff_bin1,0.20945782983708833
pp401,dyn,929,trial7,cheek,diff_bin2,0.2993436595600214
pp401,dyn,929,trial7,cheek,diff_bin3,0.33832526525535667
pp401,dyn,929,trial7,cheek,diff_bin4,0.31561079272550496
pp401,dyn,929,trial7,cheek,diff_bin5,-0.18416711683306014
pp401,dyn,929,trial7,cheek,diff_bin6,-0.051391601861620645
pp401,dyn,929,trial8,brow,diff_bin1,0.25547629919010356
pp401,dyn,929,trial8,brow,diff_bin2,0.23227770704365402
pp401,dyn,929,trial8,brow,diff_bin3,0.1675830416211611
pp401,dyn,929,trial8,brow,diff_bin4,0.28068201299107476
pp401,dyn,929,trial8,brow,diff_bin5,0.20239259915278018
pp401,dyn,929,trial8,brow,diff_bin6,0.1167281801653125
pp401,dyn,929,trial8,cheek,diff_bin1,-0.5507090025771942
pp401,dyn,929,trial8,cheek,diff_bin2,-0.02809759268512768
pp401,dyn,929,trial8,cheek,diff_bin3,-0.4625094000726343
pp401,dyn,929,trial8,cheek,diff_bin4,-0.7367891356165045
pp401,dyn,929,trial8,cheek,diff_bin5,0.14939270052411635
pp401,dyn,929,trial8,cheek,diff_bin6,-0.15430674048854898
pp402,dyn,626,trial1,brow,diff_bin1,-0.38682910404417614
pp402,dyn,626,trial1,brow,diff_bin2,-0.046814400508042316
pp402,dyn,626,trial1,brow,diff_bin3,-0.9319034182835985
pp402,dyn,626,trial1,brow,diff_bin4,-0.3168581609934287
pp402,dyn,626,trial1,brow,diff_bin5,-1.170757458369972
pp402,dyn,626,trial1,brow,diff_bin6,-0.5734331271594695
pp402,dyn,626,trial1,cheek,diff_bin1,0.19073590552454944
pp402,dyn,626,trial1,cheek,diff_bin2,0.13739870849739833
pp402,dyn,626,trial1,cheek,diff_bin3,0.16628312898785036
pp402,dyn,626,trial1,cheek,diff_bin4,0.08811072929601138
pp402,dyn,626,trial1,cheek,diff_bin5,0.04194964608229801
pp402,dyn,626,trial1,cheek,diff_bin6,0.03814788045699713
pp402,dyn,626,trial2,brow,diff_bin1,0.35574846324471115
pp402,dyn,626,trial2,brow,diff_bin2,-0.058355740282796276
pp402,dyn,626,trial2,brow,diff_bin3,-1.0474327551916782
pp402,dyn,626,trial2,brow,diff_bin4,-0.6038085165113573
pp402,dyn,626,trial2,brow,diff_bin5,-1.0810936097550665
pp402,dyn,626,trial2,brow,diff_bin6,-0.9369886417730465
pp402,dyn,626,trial2,cheek,diff_bin1,0.22956151919124745
pp402,dyn,626,trial2,cheek,diff_bin2,2.9617712471257254
pp402,dyn,626,trial2,cheek,diff_bin3,0.5268865858752867
pp402,dyn,626,trial2,cheek,diff_bin4,0.17588688734528257
pp402,dyn,626,trial2,cheek,diff_bin5,0.2625401488166391
pp402,dyn,626,trial2,cheek,diff_bin6,0.20769574293212012
pp402,dyn,626,trial3,brow,diff_bin1,0.06122558220901855
pp402,dyn,626,trial3,brow,diff_bin2,-0.30704019569281626
pp402,dyn,626,trial3,brow,diff_bin3,-1.3822729693056093
pp402,dyn,626,trial3,brow,diff_bin4,-1.1715809537051398
pp402,dyn,626,trial3,brow,diff_bin5,-0.7987291069937428
pp402,dyn,626,trial3,brow,diff_bin6,-0.6035762954179065
