pp_no,condition,emotion,bin,bin_no,trial,muscle,rms
pp401,dyn,828,bin_4,4,trial4,brow,13.7197
pp401,dyn,828,bin_4,4,trial4,cheek,4.0945
pp401,dyn,828,bin_5,5,trial4,brow,14.5582
pp401,dyn,828,bin_5,5,trial4,cheek,4.2366
pp401,dyn,828,bin_6,6,trial4,brow,14.0795
pp401,dyn,828,bin_6,6,trial4,cheek,4.6961
pp401,dyn,828,bin_0,0,trial5,brow,13.4836
pp401,dyn,828,bin_0,0,trial5,cheek,4.6082
pp401,dyn,828,bin_1,1,trial5,brow,12.9568
pp401,dyn,828,bin_1,1,trial5,cheek,4.2115
pp401,dyn,828,bin_2,2,trial5,brow,12.4976
pp401,dyn,828,bin_2,2,trial5,cheek,3.7931
pp401,dyn,828,bin_3,3,trial5,brow,12.1977
pp401,dyn,828,bin_3,3,trial5,cheek,3.8115
pp401,dyn,828,bin_4,4,trial5,brow,13.0303
pp401,dyn,828,bin_4,4,trial5,cheek,3.8337
pp401,dyn,828,bin_5,5,trial5,brow,12.793
pp401,dyn,828,bin_5,5,trial5,cheek,4.1102
pp401,dyn,828,bin_6,6,trial5,brow,12.8181
pp401,dyn,828,bin_6,6,trial5,cheek,3.8571
pp401,dyn,828,bin_0,0,trial6,brow,14.5486
pp401,dyn,828,bin_0,0,trial6,cheek,11.1378
pp401,dyn,828,bin_1,1,trial6,brow,13.2151
pp401,dyn,828,bin_1,1,trial6,cheek,6.7404
pp401,dyn,828,bin_2,2,trial6,brow,11.2216
pp401,dyn,828,bin_2,2,trial6,cheek,4.7365
pp401,dyn,828,bin_3,3,trial6,brow,11.0127
pp401,dyn,828,bin_3,3,trial6,cheek,4.6973
pp401,dyn,828,bin_4,4,trial6,brow,11.9209
pp401,dyn,828,bin_4,4,trial6,cheek,4.8588
pp401,dyn,828,bin_5,5,trial6,brow,11.0046
pp401,dyn,828,bin_5,5,trial6,cheek,5.3816
pp401,dyn,828,bin_6,6,trial6,brow,11.5146
pp401,dyn,828,bin_6,6,trial6,cheek,4.3128
pp401,dyn,828,bin_0,0,trial7,brow,13.6898
pp401,dyn,828,bin_0,0,trial7,cheek,4.1215
pp401,dyn,828,bin_1,1,trial7,brow,14.164
pp401,dyn,828,bin_1,1,trial7,cheek,4.5836
pp401,dyn,828,bin_2,2,trial7,brow,12.6823
pp401,dyn,828,bin_2,2,trial7,cheek,4.8585
pp401,dyn,828,bin_3,3,trial7,brow,14.3129
pp401,dyn,828,bin_3,3,trial7,cheek,4.033
pp401,dyn,828,bin_4,4,trial7,brow,14.6879
pp401,dyn,828,bin_4,4,trial7,cheek,4.078
pp401,dyn,828,bin_5,5,trial7,brow,16.1226
pp401,dyn,828,bin_5,5,trial7,cheek,5.9844
pp401,dyn,828,bin_6,6,trial7,brow,119.7137
pp401,dyn,828,bin_6,6,trial7,cheek,35.6429
pp401,dyn,828,bin_0,0,trial8,brow,10.3786
pp401,dyn,828,bin_0,0,trial8,cheek,4.5401
pp401,dyn,828,bin_1,1,trial8,brow,12.0479
pp401,dyn,828,bin_1,1,trial8,cheek,4.2908
pp401,dyn,828,bin_2,2,trial8,brow,12.6278
pp401,dyn,828,bin_2,2,trial8,cheek,4.3349
pp401,dyn,828,bin_3,3,trial8,brow,10.1433
pp401,dyn,828,bin_3,3,trial8,cheek,4.082
pp401,dyn,828,bin_4,4,trial8,brow,10.5906
pp401,dyn,828,bin_4,4,trial8,cheek,4.0835
pp401,dyn,828,bin_5,5,trial8,brow,13.2654
pp401,dyn,828,bin_5,5,trial8,cheek,3.9902
pp401,dyn,828,bin_6,6,trial8,brow,13.7186
pp401,dyn,828,bin_6,6,trial8,cheek,4.3456
pp401,dyn,929,bin_0,0,trial1,brow,9.6162
pp401,dyn,929,bin_0,0,trial1,cheek,4.8928
pp401,dyn,929,bin_1,1,trial1,brow,11.5467
pp401,dyn,929,bin_1,1,trial1,cheek,4.3443
pp401,dyn,929,bin_2,2,trial1,brow,10.7864
pp401,dyn,929,bin_2,2,trial1,cheek,3.9312
pp401,dyn,929,bin_3,3,trial1,brow,11.9181
pp401,dyn,929,bin_3,3,trial1,cheek,4.026
pp401,dyn,929,bin_4,4,trial1,brow,10.6321
pp401,dyn,929,bin_4,4,trial1,cheek,4.8075
pp401,dyn,929,bin_5,5,trial1,brow,11.3415
pp401,dyn,929,bin_5,5,trial1,cheek,4.4406
pp401,dyn,929,bin_6,6,trial1,brow,15.6355
pp401,dyn,929,bin_6,6,trial1,cheek,4.975
pp401,dyn,929,bin_0,0,trial2,brow,12.7212
pp401,dyn,929,bin_0,0,trial2,cheek,3.8524
pp401,dyn,929,bin_1,1,trial2,brow,12.6804
pp401,dyn,929,bin_1,1,trial2,cheek,3.9526
pp401,dyn,929,bin_2,2,trial2,brow,13.2341
pp401,dyn,929,bin_2,2,trial2,cheek,4.1142
pp401,dyn,929,bin_3,3,trial2,brow,12.3522
pp401,dyn,929,bin_3,3,trial2,cheek,3.9405
pp401,dyn,929,bin_4,4,trial2,brow,12.3995
pp401,dyn,929,bin_4,4,trial2,cheek,3.8318
pp401,dyn,929,bin_5,5,trial2,brow,14.2215
pp401,dyn,929,bin_5,5,trial2,cheek,4.1128
pp401,dyn,929,bin_6,6,trial2,brow,13.5582
pp401,dyn,929,bin_6,6,trial2,cheek,3.7516
pp401,dyn,929,bin_0,0,trial3,brow,15.1417
pp401,dyn,929,bin_0,0,trial3,cheek,4.1963
pp401,dyn,929,bin_1,1,trial3,brow,15.2156
pp401,dyn,929,bin_1,1,trial3,cheek,3.5622
pp401,dyn,929,bin_2,2,trial3,brow,13.0753
pp401,dyn,929,bin_2,2,trial3,cheek,3.7319
pp401,dyn,929,bin_3,3,trial3,brow,12.9279
pp401,dyn,929,bin_3,3,trial3,cheek,3.7419
pp401,dyn,929,bin_4,4,trial3,brow,13.5699
pp401,dyn,929,bin_4,4,trial3,cheek,3.8894
pp401,dyn,929,bin_5,5,trial3,brow,12.2717
pp401,dyn,929,bin_5,5,trial3,cheek,4.1622
pp401,dyn,929,bin_6,6,trial3,brow,14.0192
pp401,dyn,929,bin_6,6,trial3,cheek,3.7941
pp401,dyn,929,bin_0,0,trial4,brow,9.2472
pp401,dyn,929,bin_0,0,trial4,cheek,10.4185
pp401,dyn,929,bin_1,1,trial4,brow,10.7267
pp401,dyn,929,bin_1,1,trial4,cheek,9.9538
pp401,dyn,929,bin_2,2,trial4,brow,9.7925
pp401,dyn,929,bin_2,2,trial4,cheek,7.0562
pp401,dyn,929,bin_3,3,trial4,brow,11.0495
pp401,dyn,929,bin_3,3,trial4,cheek,8.8007
pp401,dyn,929,bin_4,4,trial4,brow,12.9306
pp401,dyn,929,bin_4,4,trial4,cheek,9.4434
pp401,dyn,929,bin_5,5,trial4,brow,10.7922
pp401,dyn,929,bin_5,5,trial4,cheek,6.2107
pp401,dyn,929,bin_6,6,trial4,brow,11.7765
pp401,dyn,929,bin_6,6,trial4,cheek,5.4661
pp401,dyn,929,bin_0,0,trial5,brow,10.6432
pp401,dyn,929,bin_0,0,trial5,cheek,4.088
pp401,dyn,929,bin_1,1,trial5,brow,10.7835
pp401,dyn,929,bin_1,1,trial5,cheek,3.9603
pp401,dyn,929,bin_2,2,trial5,brow,12.8986
pp401,dyn,929,bin_2,2,trial5,cheek,3.6194
pp401,dyn,929,bin_3,3,trial5,brow,12.8828
pp401,dyn,929,bin_3,3,trial5,cheek,4.5275
pp401,dyn,929,bin_4,4,trial5,brow,11.0887
pp401,dyn,929,bin_4,4,trial5,cheek,3.8152
pp401,dyn,929,bin_5,5,trial5,brow,9.3982
pp401,dyn,929,bin_5,5,trial5,cheek,3.7812
pp401,dyn,929,bin_6,6,trial5,brow,9.4149
pp401,dyn,929,bin_6,6,trial5,cheek,3.7085
pp401,dyn,929,bin_0,0,trial6,brow,11.5702
pp401,dyn,929,bin_0,0,trial6,cheek,8.1848
pp401,dyn,929,bin_1,1,trial6,brow,11.8249
pp401,dyn,929,bin_1,1,trial6,cheek,5.1078
pp401,dyn,929,bin_2,2,trial6,brow,11.2833
pp401,dyn,929,bin_2,2,trial6,cheek,4.5405
pp401,dyn,929,bin_3,3,trial6,brow,12.2712
pp401,dyn,929,bin_3,3,trial6,cheek,4.829
pp401,dyn,929,bin_4,4,trial6,brow,12.3532
pp401,dyn,929,bin_4,4,trial6,cheek,4.9066
pp401,dyn,929,bin_5,5,trial6,brow,13.2493
pp401,dyn,929,bin_5,5,trial6,cheek,4.4274
pp401,dyn,929,bin_6,6,trial6,brow,11.9254
pp401,dyn,929,bin_6,6,trial6,cheek,4.8355
pp401,dyn,929,bin_0,0,trial7,brow,12.699
pp401,dyn,929,bin_0,0,trial7,cheek,7.1477
pp401,dyn,929,bin_1,1,trial7,brow,11.3942
pp401,dyn,929,bin_1,1,trial7,cheek,8.7476
pp401,dyn,929,bin_2,2,trial7,brow,12.5915
pp401,dyn,929,bin_2,2,trial7,cheek,9.2007
pp401,dyn,929,bin_3,3,trial7,brow,9.3291
pp401,dyn,929,bin_3,3,trial7,cheek,9.3972
pp401,dyn,929,bin_4,4,trial7,brow,12.8798
pp401,dyn,929,bin_4,4,trial7,cheek,9.2827
pp401,dyn,929,bin_5,5,trial7,brow,11.8699
pp401,dyn,929,bin_5,5,trial7,cheek,6.7634
pp401,dyn,929,bin_6,6,trial7,brow,12.89
pp401,dyn,929,bin_6,6,trial7,cheek,7.4327
pp401,dyn,929,bin_0,0,trial8,brow,10.7667
pp401,dyn,929,bin_0,0,trial8,cheek,9.0568
pp401,dyn,929,bin_1,1,trial8,brow,12.3384
pp401,dyn,929,bin_1,1,trial8,cheek,8.8214
pp401,dyn,929,bin_2,2,trial8,brow,12.1396
pp401,dyn,929,bin_2,2,trial8,cheek,11.4558
pp401,dyn,929,bin_3,3,trial8,brow,11.5852
pp401,dyn,929,bin_3,3,trial8,cheek,9.266
pp401,dyn,929,bin_4,4,trial8,brow,12.5544
pp401,dyn,929,bin_4,4,trial8,cheek,7.8834
pp401,dyn,929,bin_5,5,trial8,brow,11.8835
pp401,dyn,929,bin_5,5,trial8,cheek,12.3505
pp401,dyn,929,bin_6,6,trial8,brow,11.1494
pp401,dyn,929,bin_6,6,trial8,cheek,10.8196
pp402,dyn,626,bin_0,0,trial1,brow,13.0988
pp402,dyn,626,bin_0,0,trial1,cheek,4.1671
pp402,dyn,626,bin_1,1,trial1,brow,11.711
pp402,dyn,626,bin_1,1,trial1,cheek,4.3341
pp402,dyn,626,bin_2,2,trial1,brow,13.2383
pp402,dyn,626,bin_2,2,trial1,cheek,4.097
pp402,dyn,626,bin_3,3,trial1,brow,9.2626
pp402,dyn,626,bin_3,3,trial1,cheek,4.2254
pp402,dyn,626,bin_4,4,trial1,brow,12.0253
pp402,dyn,626,bin_4,4,trial1,cheek,3.8779
pp402,dyn,626,bin_5,5,trial1,brow,8.1897
pp402,dyn,626,bin_5,5,trial1,cheek,3.6727
pp402,dyn,626,bin_6,6,trial1,brow,10.8728
pp402,dyn,626,bin_6,6,trial1,cheek,3.6558
pp402,dyn,626,bin_0,0,trial2,brow,11.6821
pp402,dyn,626,bin_0,0,trial2,cheek,3.86
pp402,dyn,626,bin_1,1,trial2,brow,13.0522
pp402,dyn,626,bin_1,1,trial2,cheek,3.8815
pp402,dyn,626,bin_2,2,trial2,brow,11.1921
pp402,dyn,626,bin_2,2,trial2,cheek,16.027
pp402,dyn,626,bin_3,3,trial2,brow,6.7493
