pp_no,model,emotion,trial,muscle,bin,zdiff,emo_type
pp401,adult,232,trial8,brow,bin1,-0.4363634055605765,adult_angry
pp401,adult,232,trial8,brow,in10,NA,adult_angry
pp401,adult,232,trial8,brow,bin2,-0.5499412295907442,adult_angry
pp401,adult,232,trial8,brow,bin3,-0.5486227826538653,adult_angry
pp401,adult,232,trial8,brow,bin4,-0.352727086161466,adult_angry
pp401,adult,232,trial8,brow,bin5,-0.20740020928032682,adult_angry
pp401,adult,232,trial8,brow,bin6,-0.17960649723999167,adult_angry
pp401,adult,232,trial8,brow,bin7,-0.43013268052016496,adult_angry
pp401,adult,232,trial8,brow,bin8,-0.11389680312779973,adult_angry
pp401,adult,232,trial8,brow,bin9,-0.39908538168398333,adult_angry
pp401,adult,232,trial8,cheek,bin1,-0.16996702105337977,adult_angry
pp401,adult,232,trial8,cheek,in10,-0.20371914715845943,adult_angry
pp401,adult,232,trial8,cheek,bin2,-0.16539614138625022,adult_angry
pp401,adult,232,trial8,cheek,bin3,-0.059716331135079376,adult_angry
pp401,adult,232,trial8,cheek,bin4,-0.0436847414521265,adult_angry
pp401,adult,232,trial8,cheek,bin5,-0.17992644507882624,adult_angry
pp401,adult,232,trial8,cheek,bin6,-0.18380029910756648,adult_angry
pp401,adult,232,trial8,cheek,bin7,-0.18115964428520723,adult_angry
pp401,adult,232,trial8,cheek,bin8,-0.13266274506035483,adult_angry
pp401,adult,232,trial8,cheek,bin9,-0.24143895766667792,adult_angry
pp401,adult,434,trial1,brow,bin1,-0.13063257311689191,adult_fear
pp401,adult,434,trial1,brow,in10,0.24559263990346514,adult_fear
pp401,adult,434,trial1,brow,bin2,-0.12114826128063358,adult_fear
pp401,adult,434,trial1,brow,bin3,-0.0465284177079211,adult_fear
pp401,adult,434,trial1,brow,bin4,-0.21220616101798204,adult_fear
pp401,adult,434,trial1,brow,bin5,0.03313129560737735,adult_fear
pp401,adult,434,trial1,brow,bin6,-0.07047311530349631,adult_fear
pp401,adult,434,trial1,brow,bin7,0.2347473505839771,adult_fear
pp401,adult,434,trial1,brow,bin8,-0.055034526978107595,adult_fear
pp401,adult,434,trial1,brow,bin9,-0.40221137684077685,adult_fear
pp401,adult,434,trial1,cheek,bin1,0.05956888340388167,adult_fear
pp401,adult,434,trial1,cheek,in10,0.05281309644718574,adult_fear
pp401,adult,434,trial1,cheek,bin2,-0.05148606686640633,adult_fear
pp401,adult,434,trial1,cheek,bin3,-0.013230082790196052,adult_fear
pp401,adult,434,trial1,cheek,bin4,0.03145998410191497,adult_fear
pp401,adult,434,trial1,cheek,bin5,0.01391370408938547,adult_fear
pp401,adult,434,trial1,cheek,bin6,NA,adult_fear
pp401,adult,434,trial1,cheek,bin7,0.1730768277477318,adult_fear
pp401,adult,434,trial1,cheek,bin8,0.029838059058739985,adult_fear
pp401,adult,434,trial1,cheek,bin9,0.12171139993412364,adult_fear
pp401,adult,434,trial2,brow,bin1,0.042955851814442725,adult_fear
pp401,adult,434,trial2,brow,in10,-0.8124822922150559,adult_fear
pp401,adult,434,trial2,brow,bin2,0.0887187196880469,adult_fear
pp401,adult,434,trial2,brow,bin3,0.027559794035404817,adult_fear
pp401,adult,434,trial2,brow,bin4,-0.5230406590237788,adult_fear
pp401,adult,434,trial2,brow,bin5,-0.5211905802575134,adult_fear
pp401,adult,434,trial2,brow,bin6,-0.07038805421079464,adult_fear
